英文單字,英文例句,單字詞性和中文翻譯,例句中文翻譯,音標,標籤
go over something,Remember to go over your essay for grammar and spelling mistakes before you hand it in to me.,phr. 仔細檢查,交給我之前，記得仔細檢查你的文章是否有文法和拼字錯誤。,,Life
gonna,My cousins and I are gonna visit our grandparents in Tainan.,(be) going to 的口語,我表兄弟和我打算去台南拜訪我們的祖父母。,,Life
gotta,We gotta go now! The show will start in 30 minutes!,(have) got to 的口語,我們現在得走了！表演 30 分鐘後就要開始了！,,Life
grocery,I went to the grocery to buy some fruit.\nI bought groceries for the family.,n. 食品雜貨店；食品雜貨,我去雜貨店買了一些水果。\n我為家裡買了些雜貨。,/ˈɡɹəʊs(ə)ɹi/,Life
halt,"In distributed systems, failure of a single node does not necessarily halt the training process. Fault-tolerant frameworks can handle node failures and continue training, providing robustness.",v. 停止,在分散式系統中，單一節點的故障不一定會停止訓練過程。容錯框架可以處理節點故障並繼續訓練，提供穩健性。,/hɔːlt/,Tech
hand something in,I've decided to hand in my resignation.,phr. 繳交,我決定遞交辭呈。,,Life
handy,It's a nice house and it's handy for the train station.,adj. 方便的，有用的,這是一棟好房子，而且離火車站很近（很方便）。,/ˈhæn.di/,Life
inevitable,"Sometimes, skewed processing speeds are inevitable due to, e.g., network delays, resource contentions, or unpredictable workload spikes.",adj. 不可避免的,有時候，處理速度的偏差是不可避免的，例如因為網路延遲、資源競爭或不可預測的負載激增。,/ɪnˈɛvɪtəbəl/,Tech
initialism,"Cable News Network, usually referred to by its initialism CNN, is a major English language television network.",n. 首字母縮寫 (分開念),有線電視新聞網（通常用首字母縮寫 CNN 稱呼）是一個主要的英語電視網。,/ɪˈnɪʃəlɪzəm/,Life
acronym,initialism: API\nacronym: NASA,n. 首字母縮略詞 (讀作一個字),首字母縮寫：API\n首字母縮略詞：NASA,/ˈæk.ɹə.nɪm/,Life
intimidate,I'm one of those guys intimidated by the sheer number of questions on LeetCode.\nThey were intimidated into accepting a pay cut by the threat of losing their jobs.,v. 威嚇，脅迫,我是那種被 LeetCode 上龐大題目數量嚇到的人之一。\n他們受到失去工作的威脅而被脅迫接受減薪。,/ɪnˈtɪmɪdeɪt/,Life
mortgage,They were forced to give up their home because they couldn't pay the mortgage.,n. 抵押貸款,他們因為付不出抵押貸款而被迫放棄他們的家。,/ˈmɔː.ɡɪdʒ/,Economy
mutual,The agreement was terminated by mutual consent.,adj. 相互的，共同的,該協議經雙方同意而終止。,/ˈmjuːt͡ʃuəl/,Global
obnoxious,Some of his colleagues say that he's loud and obnoxious.,adj. 令人討厭的，可憎的,他的某些同事說他很吵又令人討厭。,/əbˈnɒkʃəs/,Life
obstacle,"I've been self-learning English in Taiwan for 25 years, and I know exactly what kind of obstacles Taiwanese students face.",n. 障礙,我在台灣自學英文 25 年了，我完全清楚台灣學生面臨什麼樣的障礙。,/ˈɒbstəkl̩/,Life
opposite,They're completely opposite to each other in every way.,adj. 相反的,他們在各方面都截然相反。,/ˈɒpəsɪt/,Life
plural,"""Woman"" in the plural is ""women"".",n./adj. 複數(的),"""Woman"" 的複數是 ""women""。",/ˈplɔː.ɹəl/,Life
presence,I'm in charge of our social media presence.,n. 存在；風采；曝光度,我負責處理我們在社群媒體上的形象與曝光度。,/ˈpɹɛzəns/,Life
primary,The primary responsibility lies with those who break the law.,adj. 首要的，主要的,主要責任在於那些違法的人。,/ˈpɹɒeməɹi/,Life
pull something off,The central bank has pulled off one of the biggest financial rescues of recent years.,phr. 成功完成困難的事,央行成功完成了近年來最大的金融救援之一。,,Life
put something off,The meeting has been put off for a week.,phr. 延遲，推遲,會議被延遲了一週。,,Life
renown,Her renown spread across the country.,n. 名望，聲譽,她的名望傳遍了全國。,/ɹɪˈnaʊn/,Life
renowned,You'll easily make six figures in salary if you get into renowned companies.\nThe region is renowned for its outstanding natural beauty.,adj. 著名的,如果你進入知名公司，很容易就能拿到六位數的薪水。\n該地區以其傑出的自然美景而聞名。,/ɹɪˈnaʊnd/,Economy
retain,She has lost her battle to retain control of the company.\nThis vessel won't retain water.,v. 保留，保持,她在爭奪公司控制權的戰鬥中失敗了。\n這個容器不保水（會漏水）。,/ɹɪˈteɪn/,Economy
rote,Learning by rote is discouraged in this school.,n. 死記硬背,這所學校不鼓勵死記硬背。,/ɹəʊt/,Life
severity,I don't think you quite understand the severity of our financial problems.,n. 嚴重性,我認為你不太了解我們財務問題的嚴重性。,/səˈvɛɹɨti/,Economy
sheer,It was sheer coincidence that we met.\nThe suggestion is sheer nonsense.,adj. 完全的，純粹的,我們的相遇純粹是巧合。\n這個建議完全是胡說八道。,/ˈʃɪə/,Life
sketch,She did a quick sketch of her father reading the paper.,n. 草圖，素描,她為正在看報的父親畫了一幅快速的素描。,/skɛtʃ/,Life
skew,"Sometimes, skewed processing speeds are inevitable due to, e.g., network delays.",v./adj. 使偏斜；歪斜的,有時候，處理速度的偏差是不可避免的，例如因為網路延遲。,/skjuː/,Tech
spike,unpredictable workload spikes,n. 尖峰，激增,不可預測的負載激增,/spaɪk/,Life
supersede,Most of the old road has been superseded by the great interstate highways.,v. 取代,大部分舊路已被寬闊的州際公路所取代。,/ˌsuːpəˈsiːd/,Life
temptation,"This ensures that a portion of your income is saved automatically each month, reducing the temptation to spend it.",n. 誘惑,這確保每個月都會自動存下一部分收入，減少花掉它的誘惑。,/tɛmpˈteɪʃən/,Life
tip,He tipped his breakfast cereal into a bowl.\nHe gave me some tips about the best way to catch trout.,v./n. 傾倒；小費；提示,他把早餐麥片倒進碗裡。\n他給了我一些關於釣鱒魚最好方法的提示。,/tɪp/,Life
trap,The fox got its foot caught in a trap.\nSand and leaves trapped the water in the stream.,n./v. 陷阱；困住,狐狸的腳被夾在陷阱裡。\n沙子和樹葉把水困在溪流中。,/tɹæp/,Life
trick,Dean tricked the old lady into giving him eight hundred dollars.\nWhat's the trick to getting this chair to fold up?,n./v. 詭計，訣竅；欺騙,Dean 騙了那位老太太給他八百元。\n把這張椅子折起來的訣竅是什麼？,/tɹɪk/,Life
unconsciously,"By cultivating the habit of thinking in English, we will unconsciously make progress in the future.",adv. 無意識地,透過培養用英文思考的習慣，我們未來會在不知不覺中取得進步。,/ˌʌnˈkɒnʃəsli/,Life
wanna,We’re going to the shopping mall. You wanna come?,want to 的口語,我們要去購物中心，你想來嗎？,,Life
weigh,She weighs herself every week on the scales in the bathroom.,v. 稱重,她每週都在浴室的體重計上稱體重。,/weɪ/,Life
wrt / w.r.t.,"With respect/regard to your request, we regret that we are unable to assist you in this matter.",關於 (with respect to),關於您的請求，我們很遺憾無法在這件事上協助您。,,Life
crucial,I’ll explain the concept of distributed training and why it’s crucial in modern machine learning.,adj. 關鍵的，至關重要的,我將解釋分散式訓練的概念，以及為什麼它在現代機器學習中至關重要。,/ˈkɹuː.ʃəl/,Tech
consecutive,This is the fifth consecutive weekend that I've spent working.,adj. 連續的,這是我連續第五個週末工作了。,/kɒnsɛkjʊtɪv/,Life
surveillance,How to make a simple surveillance system using Yolov9 with Triton Inference Server?,n. 監視,如何使用 Yolov9 和 Triton 推論伺服器製作一個簡單的監視系統？,/səɹˈveɪ.ləns/,Tech
pagination,A pagination error caused page 8000 to follow page 7099.,n. 頁碼，分頁,分頁錯誤導致第 8000 頁接在 7099 頁之後。,/ˌpædʒəˈneɪʃən/,Life
paginate,The book was paginated incorrectly.,v. 標頁碼,這本書的頁碼標錯了。,/ˈpædʒəneɪt/,Life
persuade,"If she doesn't want to go, nothing you can say will persuade her.",v. 說服,如果她不想去，你說什麼都無法說服她。,/pəˈsweɪd/,Life
figure,You'll easily make six figures in salary if you get into renowned company.,n. 數字，人物,如果你進入知名公司，很容易就能拿到六位數的薪水。,/ˈfɪɡjɚ/,Economy
drastic,Many employees have had to take drastic cuts in pay.,adj. 劇烈的，極端的,許多員工不得不接受大幅度的減薪。,/ˈdɹɑːs.tɪk/,Life
drastically,Our communication environment has changed drastically in the last 10 years.,adv. 劇烈地,我們的溝通環境在過去 10 年發生了劇烈的變化。,,Life
severe,In parts of Africa there is a severe food/water shortage.,adj. 嚴重的,在非洲部分地區，食物/水嚴重短缺。,/sɪˈvɪə/,Life
decent,Everyone should be entitled to a decent wage.,adj. 體面的，像樣的,每個人都應該有權獲得一份像樣的工資。,/ˈdiːsənt/,Life
messy,Her house is very messy.,adj. 凌亂的,她的房子非常凌亂。,/ˈmɛsi/,Life
establish,The brewery was established in 1822.\nEstablish the foundation when you're Leecoding!,v. 建立，創立,這家啤酒廠成立於 1822 年。\n在刷 LeetCode 時打好基礎！,/ɪˈstæb.lɪʃ/,Life
taste,I love the taste of garlic.,n./v. 味道；品嚐,我喜歡大蒜的味道。,/teɪst/,Life
attempt,He attempted to escape through a window.,v./n. 嘗試，企圖,他企圖從窗戶逃跑。,/əˈtɛmpt/,Life
subjective,More specific and less subjective criteria should be used in selecting people for promotion within the company.,adj. 主觀的,在選擇公司內部晉升人員時，應使用更具體且較不主觀的標準。,/səbˈdʒɛktɪv/,Economy
objective,I can't really be objective when I'm judging my daughter's work.,adj./n. 客觀的；目標,在評判我女兒的作品時，我實在無法客觀。,/ɒbˈd͡ʒɛk.tɪv/,Life
realize,They didn't realize the danger they were in.,v. 了解，意識到；實現,他們沒有意識到自己身處危險之中。,/ˈɹɪə.laɪz/,Life
formula,There's no magic formula for success.,n. 公式，配方,成功沒有魔法公式。,/ˈfɔː.mjʊ.lə/,Life
bar raiser,The most difficult interview for the candidate was the one with the Bar Raiser.,n. 提高標準的人 (面試角色),對求職者來說，最困難的面試是與 Bar Raiser (把關者) 的面試。,,Life
rinse,"There was no soap, so I just rinsed my hands with water.",v. 沖洗,沒有肥皂，所以我只用水沖洗了雙手。,/ɹɛns/,Life
rinse and repeat,"Wash your hair, rinse and repeat.",phr. 重複同樣的步驟,洗頭髮，沖洗，然後重複。,,Life
upheaval,ChatGPT is not yet causing the massive upheaval in the US labor market.,n. 動盪，劇變,ChatGPT 尚未在美國勞動力市場引發大規模動盪。,/ʌpˈhi.vəl/,Economy
amid,The study comes amid widespread concerns that AI could put many jobs at risk.,prep. 在...之中,這項研究是在人們廣泛擔憂 AI 可能會讓許多工作面臨風險的情況下提出的。,/əˈmɪd/,Tech
proliferation,the proliferation of generative artificial intelligence,n. 激增，擴散,生成式人工智慧的激增,/pɹəˌlɪfəˈɹeɪʃən/,Tech
underpin,the technology that underpins ChatGPT,v. 支撐，鞏固,支撐 ChatGPT 的技術,/ˌʌn.dəˈpɪn/,Tech
automation,turn to AI to cut costs through greater automation,n. 自動化,轉向 AI 透過更高的自動化來削減成本,,"Tech,Economy"
discernible,The broader labor market has not experienced a discernible disruption.,adj. 可辨識的，明顯的,更廣泛的勞動力市場並未經歷明顯的破壞。,/dɪˈsɜːnɪbl̩/,Economy
undercut,undercutting fears that AI automation is currently eroding the demand for cognitive labor,v. 削弱,削弱了對 AI 自動化目前正在侵蝕認知勞動力需求的擔憂,,Tech
erode,eroding the demand for cognitive labor across the economy,v. 侵蝕，削弱,侵蝕整個經濟對認知勞動力的需求,/ɪˈɹoʊd/,Economy
cognitive,cognitive labor,adj. 認知的,認知勞動力,/ˈkɒɡnɪtɪv/,Life
adoption,The adoption of generative AI was at an early stage.,n. 採用,生成式 AI 的採用尚處於早期階段。,,Tech
assess,The researchers plan to monitor relevant data monthly to assess how AI’s job impacts might change.,v. 評估,研究人員計畫每月監控相關數據，以評估 AI 對工作的影響可能會有何改變。,,Tech
initiative,"Although she was quite young, she showed a lot of initiative and was promoted to manager after a year.\nHe began his lecture by talking down the initiatives of a rival company.",n. 主動性，倡議,雖然她很年輕，但她展現了很高的主動性，並在一年後被晉升為經理。\n他開始演講時貶低了競爭對手公司的倡議。,,Economy
enthusiasm,After the accident he lost his enthusiasm for the sport.,n. 熱情,意外發生後，他失去了對這項運動的熱情。,,Life
persistence,Her persistence and enthusiasm have helped the group to achieve its international success.,n. 堅持,她的堅持和熱情幫助團隊在國際上取得了成功。,,Global
ethic,The ethics of journalism are much debated.,n. 道德規範,新聞道德備受爭議。,,Life
work ethic,Bill's work ethic was never very strong.,n. 職業道德，工作態度,Bill 的工作態度從來不是很強。,,Life
persevere,"If you persevere long enough and work hard enough, you’ll eventually succeed.",v. 堅持不懈,如果你堅持得夠久、夠努力，你最終會成功。,,Life
proportional,The punishment should be proportional to the crime.,adj. 成比例的,懲罰應與罪行成比例。,,Life
commitment,I'd like to thank the staff for having shown such commitment.,n. 承諾，投入,我想感謝員工們展現出如此的投入。,,Life
ambitious,She has some ambitious plans for her business.,adj. 有野心的,她的事業有一些雄心勃勃的計畫。,,Life
ambiguous,His reply to my question was somewhat ambiguous.,adj. 模稜兩可的,他對我問題的回答有些模稜兩可。,,Life
intentionally,I didn't ignore her intentionally - I just didn't recognize her.,adv. 故意地,我不是故意忽略她 - 我只是沒認出她。,,Life
rival,The company has decided not to go through with the takeover of its smaller rival.,n. 競爭對手,公司決定不進行對其較小競爭對手的收購。,,Economy
takeover,The company has decided not to go through with the takeover of its smaller rival.,n. 收購，接管,公司決定不進行對其較小競爭對手的收購。,,Economy
settle,The details of the contract have not yet been settled.,v. 解決，定居，確定,合約的細節尚未確定。,,Life
setback,There has been a slight/temporary setback in our plans.,n. 挫折,我們的計畫遭遇了輕微/暫時的挫折。,,Life
parenthesis,"An open interval does not include any endpoint, and is indicated with parentheses.",n. 圓括號 (),開區間不包含任何端點，並用圓括號表示。,,Life
bracket,A closed interval is an interval that includes all its endpoints and is denoted with square brackets.,n. 方括號 [],閉區間是包含所有端點的區間，並用方括號表示。,,Life
brace,"Parentheses are smooth and curved ( ), brackets are square [ ], and braces are curly { }.",n. 大括號 {},圓括號是平滑彎曲的 ( )，方括號是方形的 [ ]，大括號是捲曲的 { }。,,Life
set the tone (for something),"As the leader of the project, I knew that my reaction would set the tone for the group.",phr. 定調,身為專案領導者，我知道我的反應會為團隊定下基調。,,Life
a blessing in disguise,I challenged the group to think of this setback as a blessing in disguise.,phr. 因禍得福,我挑戰團隊將這個挫折視為因禍得福。,,Life
blessing,We ask God's blessing on Joan at this difficult time.,n. 祝福,我們祈求上帝在這個困難時期賜福給瓊。,,Life
disguise,He put on a large hat and glasses as a disguise and hoped no one would recognize him.\nHe disguised himself by wearing a false beard.,n./v. 偽裝,他戴上大帽子和眼鏡作為偽裝，希望沒人認出他。\n他戴著假鬍子偽裝自己。,,Life
beard,He's growing a beard.,n. 鬍鬚,他正在留鬍子。,,Life
turn out,The truth turned out to be stranger than we had expected.\nIt turns out that she had known him when they were children.,phr. 結果是,真相結果比我們預期的還要離奇。\n原來她小時候就認識他了。,,Life
superior,She was chosen for the job because she was the superior candidate.,adj. 優越的,她被選中這份工作是因為她是更優秀的候選人。,,Life
fright,"When I present an idea, or concept to a larger audience, I still experience some stage fright.",n. 驚嚇,當我向廣大觀眾展示一個想法或概念時，我仍然會有些怯場。,,Life
stage fright,Actors or performers who have stage fright are nervous because they are about to perform.,n. 怯場,有怯場情緒的演員或表演者會因為即將表演而感到緊張。,,Life
legit / legitimate,He claimed that the restaurant bill was a legitimate business expense.,adj. 合法的，正當的,他聲稱這筆餐廳帳單是正當的業務支出。,,Life
occasion,"On rare occasions, you may wish to make sure that only one RAII object refers to a raw resource and that when the RAII object is copied, ownership of the resource is transferred from the copied object to the copying object.",n. 場合，時機,在極少數情況下，您可能希望確保只有一個 RAII 物件指向原始資源，且當複製 RAII 物件時，資源的所有權會從被複製的物件轉移到進行複製的物件。,,Tech
entail,Properly implementing the RAII pattern entails that the object's copy semantics must be explicitly defined.,v. 牽涉，需要,正確實作 RAII 模式需要明確定義物件的複製語義。,,Tech
omit,She was omitted from the list of contributors to the report.,v. 省略，遺漏,她的名字被遺漏在報告的貢獻者名單之外。,,Life
circumstance,Obviously we can't deal with the problem until we know all the circumstances.,n. 情況，環境,顯然，在了解所有情況之前，我們無法處理這個問題。,,Life
oblivious,"Absorbed in her work, she was totally oblivious of her surroundings.",adj. 未察覺的，不知道的,她專注於工作，完全沒有察覺到周圍的環境。,,Life
absorb,The project has absorbed her for several years.\nIt's hard to absorb so much information.,v. 吸收，理解，全神貫注,這個專案讓她全神貫注了好幾年。\n要吸收這麼多資訊很困難。,,Life
abstain,"To avoid confusion, abstain from 'typedef' for array types.\nHe took a vow to abstain from alcohol and smoking.",v. 戒除，放棄，避免,為了避免混淆，請避免對陣列類型使用 'typedef'。\n他發誓要戒除菸酒。,,Life
occurrence,The study compares the occurrence of heart disease in various countries.,n. 發生，事件,該研究比較了各國心臟病的發生率。,,Life
curriculum,Maths is an intrinsic part of the school curriculum.,n. 課程大綱,數學是學校課程大綱中不可或缺的一部分。,,Life
prospective,She showed a prospective buyer around the house.,adj. 預期的，潛在的,她帶一位潛在買家參觀了房子。,,Life
peripheral,The book contains a great deal of peripheral detail.,adj. 外圍的，次要的,這本書包含大量無關緊要的細節。,,Life
intervention,Repeated interventions on the currency markets failed to prevent the currency's value falling.\nI/O is done with no CPU intervention.,n. 干涉，介入,對外匯市場的反覆干預未能阻止貨幣貶值。\nI/O 操作無需 CPU 介入即可完成。,,Economy
unpleasant,"When we complained, the waiter got very unpleasant with us.",adj. 令人不快的，不友善的,當我們投訴時，服務生對我們態度非常惡劣。,,Life
conform,"At our school, you were required to conform, and there was no place for originality.",v. 順從，遵從,在我們學校，你必須循規蹈矩，沒有絲毫創新的空間。,,Life
integrity,Parallel systems require extensive synchronization to protect data integrity.\nNo one doubted that the president was a man of the highest integrity.,n. 完整性；正直,並行系統需要廣泛的同步以保護資料完整性。\n沒有人懷疑總統是個品格最高尚的人。,,Tech
necessitate,"Parallel systems necessitate extensive synchronization, which can often lead to performance overhead.",v. 使成為必需，需要,並行系統需要大量的同步，這通常會導致效能負擔。,,Tech
congestion,These facilities are designed to ease the congestion of emergency rooms.,n. 擁塞，擠擁,這些設施旨在緩解急診室的擁擠狀況。,,Life
constant,These machines are in constant use.,adj. 持續不斷的，恆定的,這些機器一直不停地運轉。,,Tech
contradictory,Chip architects often struggle to balance the contradictory demands of increasing processing speed and extending battery life.,adj. 矛盾的，對立的,晶片架構師經常難以平衡提高處理速度和延長電池壽命這兩個相互矛盾的需求。,,Tech
compulsory,Compulsory tasks are marked with due dates.\nThe law made wearing seat belts in cars compulsory.,adj. 強制性的，義務的,必做任務都標有截止日期。\n法律規定車內必須繫安全帶。,,"Tech,Global"
backlash,OpenAI is facing extreme backlash after signing a deal with the Department of War to use their AI for military.,n. 強烈反彈，強烈反對,OpenAI 與美國國防部簽署協議，允許其人工智慧技術用於軍事用途，此舉引發了強烈的反彈。,,"Tech,Global"
domestic,The military might use it for domestic mass surveillance.,adj. 國內的，家庭的,軍方可能會利用它進行國內的大規模監控。,,Life
autonomous,The fear that they might use it for autonomous weapons.,adj. 自主的，自治的,擔心他們可能會將其用於自主武器。,,Life
It's the thought that counts.,"We saw Katy Perry subscribing to Claude's $200-a-month plan to show support for Anthropic. Even though I don't think she's planning on using it, you know, it's the thought that counts.",phr. 心意最重要。,我們看到凱蒂·佩芮為了支持 Anthropic，訂閱了 Claude 每月 200 美元的會員方案。雖然我覺得她沒打算用，但你知道的，心意最重要。,,Life
play both sides,"So the problem with OpenAI is that it seems like they're trying to play both sides, right?",phr. 兩面討好,所以 OpenAI 的問題在於，他們似乎想兩面討好，對吧？,,Tech
nonprofit,Originally they were a nonprofit founded to make sure that this exact thing wouldn't happen.,n./adj. 非營利組織；非營利的,他們最初是一家非營利組織，成立的初衷正是為了防止此類事件發生。,,Global
pollute,The company is trying to play both sides by promoting green energy while secretly investing in high-polluting industries.,v. 污染,該公司試圖兩面討好，一方面推廣綠色能源，另一方面卻暗中投資高污染產業。,,Economy
classified,These documents contain classified material.,adj. 機密的,這些文件包含機密資料。,,Tech
lethal,"The rise of lethal, autonomous weapons has pushed global powers into a tense equilibrium.",adj. 致命的,致命性自主武器的興起已將全球大國推入一種緊張的平衡狀態。,,Global
patriotic,Elon Musk argues that providing full access to the US is a patriotic duty.,adj. 愛國的,伊隆馬斯克認為，向美國提供全面訪問權限是一種愛國義務。,,Global
critic,Critics fear such power could be abused for domestic mass surveillance.,n. 評論家，批評者,批評者擔心這種權力可能被濫用於國內大規模監控。,,Life
equilibrium,The rise of lethal weapons has pushed global powers into a tense equilibrium.,n. 平衡，均衡,致命武器的興起已將全球大國推入一種緊張的平衡狀態。,,Global
weaponize,OpenAI is currently facing intense public backlash after agreeing to help the government weaponize AI.,v. 武器化,OpenAI 目前正面臨公眾的強烈反對，此前該公司同意幫助政府將人工智慧武器化。,,"Tech,Economy"
decimate,"Any nation that hesitates to develop these tools risks being decimated by a faster, AI-driven rival.",v. 大批殺害，嚴重削弱,任何猶豫不決的國家都可能面臨被速度更快、擁有人工智慧的競爭對手摧毀的風險。,,"Tech,Global"
recipient,The recipient agrees to obtain all proprietary information solely for the purpose of furthering the fulfillment of this undertaking.,n. 接受者,接收方同意僅為履行本協議之目的獲取所有專有資訊。,,Global
obtain,The recipient agrees to obtain all proprietary information solely for the purpose of furthering the fulfillment of this undertaking.,v. 獲得,接收方同意僅為履行本協議之目的獲取所有專有資訊。,,Global
proprietary,The recipient agrees to obtain all proprietary information.,adj. 專有的，所有權的,接收方同意獲取所有專有資訊。,,Life
further,solely for the purpose of furthering the fulfillment of this undertaking,v. 促進，推動,僅為推動履行本協議之目的,,Global
disclose,The recipient shall not disclose any such information to any unauthorized person.,v. 透露，公開,接收方不得向任何未經授權的人員披露任何此類資訊。,,Life
sole,solely for the purpose of furthering the fulfillment...,adj./adv. 唯一的(地),僅為推動履行之目的...,,Life
fulfillment,furthering the fulfillment of this undertaking,n. 履行，實現,推動本承諾的履行,,Life
observe,shall observe strict secrecy at all times.,v. 遵守；觀察,應始終嚴格遵守保密規定。,,Life
measure,The recipient must measure and demonstrate evidence that all provisions of this agreement have been duly followed.,v./n. 測量；措施，方法,接收方必須衡量並提供證據證明本協議的所有條款均已妥善遵守。,,Global
envisage,Both parties acknowledge that they envisage no tangible asset other than the invention.,v. 設想，預期,雙方確認，除發明外，雙方不預期獲得任何其他有形資產。,,Economy
secrecy,shall observe strict secrecy at all times.,n. 保密,應始終嚴格保密。,,Life
undertaking,furthering the fulfillment of this undertaking.,n. 承諾，任務,推動本承諾的履行。,,Life
unauthorized,shall not disclose any such information to any unauthorized person,adj. 未經授權的,不得向任何未經授權的人員披露此類資訊。,,Life
remedy,"In the event of any breach, the sole remedy shall be at the expense of the breaching party.",n./v. 補救，補償,如發生任何違約行為，唯一的補救措施應由違約方承擔費用。,,Economy
expense,shall be at the expense of the breaching party,n. 費用，代價,應由違約方承擔費用,,Economy
obligation,to comply with this agreement in accordance with the obligation set forth herein.,n. 義務,根據本協議規定的義務遵守本協議。,,Global
oblige,Each party obliges its respective representative to comply with this agreement.,v. 迫使，責成，使有義務,雙方均應責成其各自代表遵守本協議。,,Global
demonstrate,The recipient must measure and demonstrate evidence...,v. 證明，展示,接收方必須衡量並提供證據...,,Life
evidence,demonstrate evidence that all provisions have been followed,n. 證據,提供條款已獲遵守的證據,,Global
breach,"In the event of any breach, the sole remedy...",n./v. 違約，違反,如發生任何違約行為，唯一的補救措施...,,Life
provision,that all provisions of this agreement have been duly followed,n. 條款，規定,本協議的所有條款均已妥善遵守,,Global
conceive,The parties conceive that any dispute arising hereto shall be resolved in the chosen jurisdiction.,v. 構想，認為,雙方認為，因本協議引起的任何爭議應在指定的管轄區解決。,,Global
tangible,envisage no tangible asset other than the invention,adj. 有形的，實體的,除發明外，不預期獲得任何其他有形資產,,Economy
govern,This agreement shall govern and construe all rights and duties.,v. 管轄，治理,本協議應管轄並解釋所有權利和義務。,,Global
